id,reviewer,severity,category,file,line,confidence,why,check
R7-F-02,R7,CRITICAL,concurrency,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/lsp/XsBinaryResolver.kt,30-31 75-97,high,"Double-checked-locking without lock; two threads can both call Files.createTempDirectory and orphan one.","Wrap in synchronized(this) or AtomicReference"
R7-F-13,R7,CRITICAL,concurrency,tools/intellij-xs-plugin/src/main/kotlin/com/aomr/xs/startup/XsStartupActivity.kt,30-56,high,"Full mod-directory scan runs on EDT during project open; misconfigured project at / freezes IDE","Move to Task.Backgroundable or ProgressManager.run with modal progress"
R3-F-01,R3,CRITICAL,concurrency,tools/xs-language-server/src/server.rs,406-414 (also 169-186 472-485),high,"Three-way deadlock: did_close documents→symbol_tables→merged_views; did_change_watched_files merged_views→documents→symbol_tables","Enforce single global lock-acquisition order"
R1-F-01,R1,HIGH,comment-mismatch,tools/xs-language-server/src/symbols.rs,82-92,high,"Param::render has three contradictory comments; function is dead","Confirm unused; delete function and all three comments"
R1-F-02,R1,HIGH,comment-mismatch,tools/xs-language-server/src/symbols.rs,162-166 456-462,high,"Comment says ERROR node is needed for forward declarations but grammar's _declaration_declarator already aliases function_declarator","Trace void bar(int x = -1); through grammar; delete dead helper"
R1-F-03,R1,HIGH,comment-mismatch,tools/xs-language-server/src/symbols.rs,806-818,medium,"recovers_function_definition_from_error_node_with_body test exercises the regular function_definition path","Construct real ERROR-emitting input or delete the error-recovery helpers"
R1-F-04,R1,HIGH,edge-case,tools/xs-language-server/src/word.rs,22-55,high,"identifier_at_cursor slices line_str by byte but LSP Position.character is UTF-16","Test with non-ASCII prefix and verify behaviour"
R2-F-01,R2,HIGH,bug,tools/xs-language-server/src/semantic.rs,204-210,high,"First file with any symbol (callable or not) is returned and inner is_callable_symbol filter then fails; loop terminates","2-file fixture int foo = 1 vs void foo()"
R2-F-02,R2,HIGH,comment-mismatch,tools/xs-language-server/src/typecheck.rs,90-94,medium,"Precedence vs semantic.rs::resolve_callee inverted","Align typecheck with semantic precedence; add workspace-shadowing-engine test"
R2-F-03,R2,HIGH,error-handling,tools/xs-language-server/src/diagnostics.rs,180-187,high,"missing_token_message leak guard only fires on uppercase; identifier leaks as 'Missing identifier'","Test inputs void f() { foo and void f() x;"
R2-F-04,R2,HIGH,pattern,tools/xs-language-server/src/diagnostics.rs,252-279,high,"Fragility-by-substring classification; WrongArgType requires 'of type' substring","Use LSP code field as source of truth"
R3-F-02,R3,HIGH,logic-suspicious,tools/xs-language-server/src/server.rs,845-906 908-942,high,"Rename refuses engine-API but happily renames extern/forward declarations","Decide policy and consult Symbol::is_extern/is_forward"
R3-F-03,R3,HIGH,bug,tools/xs-language-server/src/references.rs,61-75 872-879,high,"filter_declaration removes only the LAST declaration range from find results (SymbolTable::find returns the last)","Trace file with two int x = ...; declarations"
